WHO_REGION,COUNTRY_NAME,COUNTRY_CODE,ISO_YEAR,ISO_WEEK,ISO_START_DATE,SEX,AGEGROUP,AGEGROUP_NUM,DAILY_CASES,DAILY_CASES_DEATHS,DETAILED_CASES,DETAILED_CASES_DEATHS,DETAILED_CASES_CONFIRMED,DETAILED_CASES_DEATHS_CONFIRMED,DETAILED_CASES_PROBABLE,DETAILED_CASES_DEATHS_PROBABLE,DETAILED_CASES_HOSPITALISED,DETAILED_CASES_HW,DETAILED_CASES_DEATHS_HW,DETAILED_CASES_DISCHARGED,PERSONS_TESTED,PERSONS_TESTED_PCR,DAILY_DS,DETAILED_CASES_DS,DETAILED_CASES_DEATHS_DS,DETAILED_CASES_HOSPITALISED_DS,DETAILED_CASES_HW_DS,TEST_DS,LASTUPDATED_UTC
WPR,Singapore,SGP,2020,1,2019-12-29T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,Singapore,SGP,2020,2,2020-01-05T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,Singapore,SGP,2020,3,2020-01-12T16:00:00.000Z,All,All,0,0,0,,,,,,,,,,,,,DAILY,,,,,,2021-06-08T01:32:07.000Z
WPR,Singapore,SGP,2020,4,2020-01-19T16:00:00.000Z,All,All,0,4,0,4,,4,,0,,4,,,,,,DAILY,CRF,,CRF,,,2022-04-25T20:31:13.000Z
WPR,Singapore,SGP,2020,5,2020-01-26T16:00:00.000Z,All,All,0,14,0,12,,12,,0,,12,,,,,,DAILY,CRF,,CRF,,,2022-04-25T20:31:13.000Z
WPR,Singapore,SGP,2020,6,2020-02-02T16:00:00.000Z,All,All,0,22,0,26,,26,,0,,26,,,,,,DAILY,CRF,,CRF,,,2022-04-25T20:31:13.000Z
WPR,Singapore,SGP,2020,7,2020-02-09T16:00:00.000Z,All,All,0,32,0,31,,31,,0,,31,,,,,,DAILY,CRF,,CRF,,,2022-04-25T20:31:13.000Z
WPR,Singapore,SGP,2020,8,2020-02-16T16:00:00.000Z,All,All,0,17,0,14,,14,,0,,14,,,,,,DAILY,CRF,,CRF,,,2022-04-25T20:31:13.000Z
WPR,Singapore,SGP,2020,9,2020-02-23T16:00:00.000Z,All,All,0,13,0,16,,16,,0,,16,,,,,,DAILY,CRF,,CRF,,,2022-04-25T20:31:13.000Z
WPR,Singapore,SGP,2020,10,2020-03-01T16:00:00.000Z,All,All,0,36,0,45,,45,,0,,44,,,,,,DAILY,CRF,,CRF,,,2022-04-25T20:31:13.000Z
WPR,Singapore,SGP,2020,11,2020-03-08T16:00:00.000Z,All,All,0,74,0,75,,75,,0,,75,2,0,,,,DAILY,CRF,,CRF,CRF,,2022-04-25T20:31:13.000Z
WPR,Singapore,SGP,2020,12,2020-03-15T16:00:00.000Z,All,All,0,220,2,229,,229,,0,,200,1,,,,,DAILY,CRF,,CRF,CRF,,2022-04-25T20:31:13.000Z
WPR,Singapore,SGP,2020,13,2020-03-22T16:00:00.000Z,All,All,0,370,0,337,,337,,0,,337,3,,,,,DAILY,CRF,,CRF,CRF,,2022-04-25T20:31:13.000Z
WPR,Singapore,SGP,2020,14,2020-03-29T16:00:00.000Z,All,All,0,387,3,404,,404,,0,,404,,,,,,DAILY,CRF,,CRF,,,2022-04-25T20:31:13.000Z
WPR,Singapore,SGP,2020,15,2020-04-05T16:00:00.000Z,All,All,0,1110,3,1223,2,1223,2,,,1223,,,216,47486,,DAILY,WEEKLY,WEEKLY,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,Singapore,SGP,2020,16,2020-04-12T16:00:00.000Z,All,All,0,3693,3,4056,3,4056,3,,,4056,,,208,14251,,DAILY,WEEKLY,WEEKLY,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,Singapore,SGP,2020,17,2020-04-19T16:00:00.000Z,All,All,0,6701,1,7036,1,7036,1,,,7036,,,292,22907,,DAILY,WEEKLY,WEEKLY,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,Singapore,SGP,2020,18,2020-04-26T16:00:00.000Z,All,All,0,4855,5,4581,6,4581,6,,,4581,,,348,17285,,DAILY,WEEKLY,WEEKLY,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,Singapore,SGP,2020,19,2020-05-03T16:00:00.000Z,All,All,0,4912,3,5129,2,5129,2,,,5129,,,1313,23596,,DAILY,WEEKLY,WEEKLY,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
WPR,Singapore,SGP,2020,20,2020-05-10T16:00:00.000Z,All,All,0,4896,2,4737,2,4737,2,,,4737,,,6619,62658,,DAILY,WEEKLY,WEEKLY,WEEKLY,,WEEKLY,2021-06-08T01:32:07.000Z
